	 					
********* W inclusive Signal calculation *********
	 					
Bin	Fz 		Sa+Sb		Fz Recoil	Sa+Sb Recoil
	 					
0	4.62913		75142.7		4.77909		74674.4
1	18.7248		14935.8		18.381		14963
2	8.23118		15248.8		8.1508		15271.1
3	5.06838		12226		5.12901		12199.5
4	3.56096		10686.2		3.62464		10642.5
5	2.7413		6406.94		2.87106		6326.81
6	2.19512		6253.44		2.34784		6122.6
7	1.90308		3675.82		2.05654		3575.62
8	2.00279		2332.14		2.14152		2246.96
9	2.67409		1691.67		3.12149		1560.79
10	3.84061		478.677		4.69406		445.214
11	5.30162		195.208		5.61346		192.2
12	8.141		67.2329		6.71826		71.4044
13	13.005		58.5976		12.6921		58.7531
	 					
********* W plus Signal calculation *********
	 					
Bin	FzPlus 		Sa+Sb Plus	Fz Recoil Plus	Sa+Sb Recoil Plus
	 					
0	4.52859		44280.8		4.63936		44067.5
1	17.1195		8923.24		16.6586		8948.09
2	7.64248		8968.74		7.4684		9000.66
3	4.79561		7270.04		4.84854		7254.77
4	3.41078		6305.16		3.46568		6280.99
5	2.6525		3787.57		2.7934		3733.64
6	2.14861		3616.18		2.30778		3534.08
7	1.92605		2144.69		2.06462		2092.99
8	2.1046		1268.05		2.25905		1221.12
9	2.98098		1105.22		3.35112		1050.98
10	4.65755		282.027		5.24942		272.892
11	6.41923		113.048		6.20985		113.875
12	10.5733		50.5631		8.45679		52.5311
13	17.7727		29.2767		12.3636		30.8149
	 					
********* W minus Signal calculation *********
	 					
Bin	FzMinus 	Sa+Sb Minus	Fz Recoil Minus	Sa+Sb Recoil Minus
	 					
0	4.78416		30855.4		4.99571		30602.2
1	21.678		6015.8		21.6093		6017.49
2	9.24132		6280.76		9.36006		6269.75
3	5.50726		4957.81		5.58285		4946.37
4	3.79046		4382.23		3.87013		4362.29
5	2.87288		2619.6		2.98887		2592.31
6	2.26575		2635.72		2.40665		2587.59
7	1.87653		1528		2.04394		1481.42
8	1.88252		1066.18		1.99841		1029.46
9	2.33902		526.788		2.85936		460.654
10	3.04724		184.069		4.13951		157.621
11	4.29083		82.6385		4.9149		78.645
12	5.8932		8.16341		5.34146		8.67423
13	8.46873		27.9017		12.75		27.1169
