	 					
********* W inclusive Signal calculation *********
	 					
Bin	Fz 		Sa+Sb		Fz Recoil	Sa+Sb Recoil
	 					
0	3.63376		95805.9		3.74076		95129.9
1	6.06613		19766.4		6.27367		19677.9
2	4.91482		19927.5		5.04312		19838.7
3	3.76202		15633.5		3.84689		15558.5
4	2.97896		13418.7		3.05148		13335.8
5	2.56733		7691.59		2.60408		7660.16
6	2.23498		7678.61		2.35746		7549.48
7	2.11442		4015.87		2.21147		3940.62
8	2.43951		4137.91		2.55669		3825.46
9	3.06639		-1927.55		3.16509		496.758
10	4.23656		671.143		6.19092		5839.16
11	5.76433		198.704		7.42207		207.749
12	9.21269		96.6243		10.0467		97.97
13	15.8135		-17.3569		14.9423		-19.5342
	 					
********* W plus Signal calculation *********
	 					
Bin	FzPlus 		Sa+Sb Plus	Fz Recoil Plus	Sa+Sb Recoil Plus
	 					
0	3.46848		58623.1		3.56007		58239.6
1	5.42373		12425.3		5.6512		12356.1
2	4.45144		12224.8		4.60189		12151.1
3	3.50255		9725.9		3.56793		9685.12
4	2.85137		8135.75		2.89166		8105.49
5	2.49254		4588.05		2.49093		4588.93
6	2.19516		4604.56		2.31413		4526.75
7	2.13052		2353.46		2.21321		2316.74
8	2.61615		1949.83		2.77448		1794.42
9	3.49954		241.145		3.51297		234.525
10	4.69343		852.798		6.64215		325.336
11	6.35644		115.144		6.99999		120.059
12	14.6956		-22.0086		14.7692		-21.874
13	31		-5.53664		15.5833		-22.1094
	 					
********* W minus Signal calculation *********
	 					
Bin	FzMinus 	Sa+Sb Minus	Fz Recoil Minus	Sa+Sb Recoil Minus
	 					
0	3.90296		39982		4.03702		39671.4
1	7.33879		8006.3		7.48491		7987.38
2	5.78399		8344.49		5.86112		8327.36
3	4.21165		6398.15		4.33574		6361.71
4	3.18466		5692.6		3.31193		5638.27
5	2.68202		3326.65		2.78343		3292.87
6	2.29372		3284.67		2.4214		3229.8
7	2.09168		1704.72		2.209		1665.13
8	2.21963		914.442		2.29186		853.011
9	2.5753		1912.26		2.74499		2858.52
10	3.70432		417.237		5.60404		576.769
11	5.07984		67.5629		8.03884		46.7249
12	5.7928		49.9983		6.96667		50.4519
13	8.19441		-11.292		14.2187		-5.37227
